location,totalcases,young,adult,older,prevalence,incidence,incidence7,deathrate,density,hdi
Australia,0.06,0.19,0.65,0.16,0.02,0,0,0,3.24912948744283,0.938
Belgium,0.008771929824561,0.17,0.64,0.19,0,0,0,0,377.214927344782,0.919
Cambodia,0.006172839506173,0.31,0.64,0.05,0,0,0,0,92.0564128710628,0.581
Canada,0.021563342318059,0.16,0.67,0.17,0.018867924528302,0,0.000385059684251,0,4.07530821431988,0.922
China,5.33352480792705,0.18,0.71,0.11,4.04336899547641,0.125798808070654,0.303111120228949,4.89457788352449E-12,148.348833270666,0.758
Egypt,0.001016260162602,0.34,0.61,0.05,0.001016260162602,0,0,0,98.8735,0.7
Finland,0.018181818181818,0.16,0.62,0.22,0,0,0,0,18.1568556480537,0.925
France,0.017910447761194,0.18,0.62,0.2,0.01044776119403,0,0.000213219616205,0.000578703703704,122.338395739199,0.891
Germany,0.019300361881785,0.14,0.65,0.21,0.004825090470446,0,0,0,237.3709697733,0.939
India,0.000221795061363,0.27,0.67,0.06,0,0,0,0,454.938072575247,0.647
Italy,0.004966887417219,0.13,0.64,0.23,0.004966887417219,0,0,0,205.450747943156,0.883
Japan,0.057707509881423,0.13,0.6,0.28,0.042687747035573,0.006324110671937,0.005081874647092,2.57058174835547E-06,347.073458415624,0.915
Malaysia,0.06984126984127,0.24,0.69,0.07,0.022222222222222,0,0.001814058956916,0,95.9628214883579,0.804
Nepal,0.00355871886121,0.3,0.64,0.06,0,0,0,0,195.939107080572,0.579
Philippines,0.002811621368322,0.31,0.64,0.05,0.000937207122774,0,0,0.037037037037037,357.688305329175,0.712
South Korea,0.098837209302326,0.13,0.73,0.14,0.075581395348837,0.038759689922481,0.006367663344408,0,529.6521,0.906
Russia,0.001384083044983,0.18,0.67,0.15,0,0,0,0,8.8221,0.824
Singapore,1.44642857142857,0.12,0.76,0.11,0.839285714285714,0.071428571428572,0.086734693877551,0,7952.9984184018,0.935
Spain,0.004282655246253,0.15,0.66,0.19,0,0,0,0,93.5290582615872,0.893
Sri Lanka,0.004608294930876,0.24,0.65,0.1,0,0,0,0,345.558922022006,0.78
Sweden,0.009803921568627,0.18,0.62,0.2,0.009803921568627,0,0,0,25.0010434312931,0.937
Thailand,0.050432276657061,0.17,0.71,0.12,0.028818443804035,0,0.000411692054343,0,135.897206835131,0.765
United Kingdom,0.013533834586466,0.18,0.64,0.18,0.001503759398496,0,0.000214822771214,0,274.82739222089,0.92
United Arab Emirates,0.09375,0.15,0.84,0.01,0.052083333333333,0,0.001488095238095,0,135.609110109828,0.866
United States,0.00458435207824,0.19,0.65,0.16,0.003667481662592,0,8.73209919664687E-05,0,35.766088580168,0.92
Vietnam,0.016753926701571,0.23,0.7,0.07,0.009424083769634,0,0.000149588631264,0,308.125245912213,0.693
