location,totalcases,young,adult,older,prevalence,incidence,incidence7,deathrate,density,hdi
Afghanistan,0.043010752688172,0.43,0.54,0.03,0.040322580645161,0.016129032258065,0.004608294930876,0,56.937760009803,0.496
Albania,1.44827586206897,0.18,0.69,0.14,1.41379310344828,0.137931034482759,0.197044334975369,0.023809523809524,104.612262773723,0.791
Algeria,0.116113744075829,0.3,0.63,0.06,0.080568720379147,0.028436018957346,0.009817197020988,0.061224489795918,17.7300750711665,0.759
Antigua and Barbuda,1,0.22,0.69,0.09,1,0,0,0,218.831818181818,0.776
Argentina,0.125842696629213,0.25,0.64,0.11,0.119101123595506,0.024719101123596,0.014125200642055,0.035714285714286,16.2585100979651,0.83
Armenia,0.866666666666667,0.21,0.68,0.11,0.866666666666667,0.6,0.119047619047619,0,103.680224798033,0.76
Australia,1.192,0.19,0.65,0.16,1.08,0.196,0.126285714285714,0.016778523489933,3.24912948744283,0.938
Austria,10.8977272727273,0.14,0.67,0.19,10.8181818181818,1.80681818181818,1.375,0.00104275286757,107.206926667578,0.914
Azerbaijan,0.191919191919192,0.23,0.7,0.06,0.131313131313131,0,0.014430014430014,0,120.265319946776,0.754
Bahrain,13.8125,0.19,0.78,0.02,8.9375,0.625,1.26785714285714,0.004524886877828,2017.27369979138,0.838
Bangladesh,0.003097893432466,0.28,0.67,0.05,0.00185873605948,0.001239157372986,0.000177022481855,0,1239.57931166936,0.614
Belarus,0.378947368421053,0.17,0.68,0.15,0.347368421052632,0.157894736842105,0.045112781954887,0,46.7287999040892,0.817
Belgium,9.51754385964912,0.17,0.64,0.19,9.46491228070176,3.47368421052632,1.10902255639097,0.004608294930876,377.214927344782,0.919
Bhutan,0.125,0.26,0.68,0.06,0.125,0,0,0,19.7775277714448,0.617
Bolivia,0.096491228070175,0.31,0.62,0.07,0.096491228070175,0.070175438596491,0.015789473684211,0,10.4801458506416,0.703
Bosnia and Herzegovina,0.545454545454545,0.15,0.69,0.16,0.545454545454545,0,0.069264069264069,0,64.92048828125,0.769
Brazil,0.095465393794749,0.21,0.7,0.09,0.094988066825776,0.037708830548926,0.011933174224344,0,25.0617162430876,0.761
Brunei,12.5,0.23,0.72,0.05,12.5,2.5,2.04166666666667,0,81.3969,0.845
Bulgaria,0.728571428571429,0.15,0.64,0.21,0.7,0.114285714285714,0.095918367346939,0.03921568627451,64.7035372144436,0.816
Burkina Faso,0.015151515151515,0.45,0.53,0.02,0.015151515151515,0,0.001010101010101,0,72.1912828947368,0.434
Cambodia,0.074074074074074,0.31,0.64,0.05,0.067901234567901,0.030864197530864,0.008818342151675,0,92.0564128710628,0.581
Cameroon,0.011904761904762,0.43,0.55,0.03,0.011904761904762,0,0.000566893424036,0,53.3439889149796,0.563
Canada,0.819407008086253,0.16,0.67,0.17,0.792452830188679,0.161725067385445,0.093184443588756,0.003289473684211,4.07530821431988,0.922
Central African Republic,0.021276595744681,0.44,0.53,0.03,0.021276595744681,0,0,0,7.49041221227006,0.381
Chile,0.401069518716578,0.2,0.69,0.12,0.401069518716578,0.074866310160428,0.049656226126814,0,25.1894460666519,0.847
China,5.82156961298198,0.18,0.71,0.11,0.714367774825878,0.002082286206649,0.001774559181036,0.03969066443011,148.348833270666,0.758
Colombia,0.048387096774194,0.23,0.68,0.08,0.048387096774194,0,0.006624423963134,0,44.7487021180712,0.761
Congo,0.019230769230769,0.42,0.56,0.03,0.019230769230769,0,0,0,15.3568,0.609
Costa Rica,0.46,0.21,0.69,0.1,0.46,0,0.04,0,97.9130630630631,0.794
Croatia,1.19512195121951,0.15,0.65,0.2,1.14634146341463,0.292682926829268,0.132404181184669,0,73.0771979985704,0.837
Cuba,0.035398230088496,0.16,0.69,0.15,0.035398230088496,0,0.002949852507375,0,108.999596231494,0.778
Cyprus,2.75,0.17,0.69,0.14,2.75,1,0.430555555555556,0,128.708333333333,0.873
Czech Republic,2.81132075471698,0.16,0.65,0.19,2.78301886792453,0.792452830188679,0.358490566037736,0,137.602887852888,0.891
Cote d'Ivoire,0.01195219123506,0.42,0.55,0.03,0.01195219123506,0,0.00199203187251,0,78.8340534591195,0.516
Democratic Republic of Congo,0.002378121284185,0.46,0.51,0.03,0.002378121284185,0,0.000237812128419,0,37.0826,0.459
Denmark,15.4827586206897,0.16,0.64,0.2,15.448275862069,1.22413793103448,2.1231527093596,0.001113585746102,138.067301738509,0.93
Dominican Republic,0.047169811320755,0.28,0.65,0.07,0.047169811320755,0,0.005390835579515,0,219.97857586421,0.745
Ecuador,0.216374269005848,0.28,0.65,0.07,0.204678362573099,0.08187134502924,0.018379281537176,0.054054054054054,68.7886817522951,0.758
Egypt,0.128048780487805,0.34,0.61,0.05,0.098577235772358,0.033536585365854,0.010307781649245,0.015873015873016,98.8735,0.7
Equatorial Guinea,0.076923076923077,0.37,0.6,0.02,0.076923076923077,0,0,0,46.6657397504456,0.588
Estonia,15.7692307692308,0.16,0.64,0.2,15.6923076923077,9.69230769230769,2.14285714285715,0,30.3861053600184,0.882
Ethiopia,0.000915750915751,0.41,0.56,0.04,0.000915750915751,0,0,0,109.224559,0.47
Finland,4.85454545454545,0.16,0.62,0.22,4.67272727272727,1.03636363636364,0.615584415584416,0,18.1568556480537,0.925
France,8.02985074626866,0.18,0.62,0.2,7.82238805970149,1.35970149253731,0.909168443496801,0.02360594795539,122.338395739199,0.891
Gabon,0.047619047619048,0.37,0.59,0.04,0.047619047619048,0,0,0,8.22476423332169,0.702
Georgia,0.891891891891892,0.2,0.65,0.15,0.864864864864865,0.081081081081081,0.077220077220077,0,65.2752020714511,0.786
Germany,5.83594692400483,0.14,0.65,0.21,5.74065138721351,1.25814234016888,0.642081681888678,0.002480363786689,237.3709697733,0.939
Ghana,0.006711409395973,0.38,0.59,0.03,0.006711409395973,0,0.001677852348993,0,130.821429199262,0.596
Greece,3.09345794392523,0.14,0.64,0.22,2.98130841121495,0.962616822429906,0.344459279038719,0.012084592145015,83.2247323506594,0.872
Guatemala,0.005813953488372,0.34,0.61,0.05,0,0,0,1,160.953779395297,0.651
Guinea,0.008064516129032,0.44,0.53,0.03,0.008064516129032,0,0,0,50.5222122741332,0.466
Honduras,0.020833333333333,0.32,0.64,0.05,0.020833333333333,0,0,0,85.6870319063366,0.623
Hungary,0.397959183673469,0.14,0.66,0.19,0.377551020408163,0.071428571428571,0.043731778425656,0.025641025641026,107.906605545123,0.845
Iceland,34.5,0.2,0.65,0.15,34.5,0,2.96428571428572,0,3.52692269326683,0.938
India,0.008428212331805,0.27,0.67,0.06,0.007319237024989,0.000517521809848,0.0007498785408,0.017543859649123,454.938072575247,0.647
Indonesia,0.04370564064251,0.27,0.68,0.06,0.039223010833022,0,0.005923475105395,0.034188034188034,147.75219008926,0.707
Iran,18.3264058679707,0.24,0.69,0.06,11.6723716381418,2.76528117359413,1.471358714635,0.056900807150957,50.2224,0.797
Iraq,0.322916666666667,0.38,0.58,0.03,0.231770833333333,0.080729166666667,0.023809523809524,0.07258064516129,88.5305700354617,0.689
Ireland,3.44897959183673,0.21,0.65,0.14,3.40816326530612,0.816326530612245,0.431486880466471,0.011834319526627,70.452983016403,0.942
